"collection","dc.contributor.author","dc.contributor.editor","dc.date.accessioned","dc.date.available","dc.date.issued","dc.description.abstract[eng]","dc.description.abstract[ger]","dc.description.edition","dc.identifier.doi","dc.identifier.isbn","dc.identifier.issn","dc.identifier.uri","dc.language.iso","dc.publisher","dc.relation.conference","dc.relation.hasversion","dc.relation.ispartof","dc.rights.uri","dc.title.subtitle[eng]","dc.title.subtitle[ger]","dc.title[eng]","dc.title[ger]","dc.type","dcterms.bibliographicCitation.articlenumber","dcterms.bibliographicCitation.booktitle","dcterms.bibliographicCitation.doi","dcterms.bibliographicCitation.issue","dcterms.bibliographicCitation.journaltitle","dcterms.bibliographicCitation.originalpublisherplace","dcterms.bibliographicCitation.pageend","dcterms.bibliographicCitation.pagestart","dcterms.bibliographicCitation.url","dcterms.bibliographicCitation.volume","dcterms.dateAccepted","dcterms.extent","dspace.entity.type","ubhi.series.issuenumber","ubhi.series.name"
"ubhi/6","Kappes, Cathleen||Häusser, Jan||Mojzisch, Andreas||Hüffmeier, Joachim",,"2023-07-14T06:25:48Z","2023-03-10","2020","In integrative as opposed to distributive negotiations, the interests of the negotiation partners can be simultaneously realized to some degree, which results in higher individual as well as joint outcomes. Perspective taking is important to detect and tap into this integrative potential. In negotiations, priority-related information exchange can be seen as a behavioral consequence of perspective taking. Based on findings on the development of perspective taking across the life span, we tested the hypothesis that there are age differences in integrative negotiations. In 2 quasi-experimental studies (Study 1 and 2), participants worked in face-to-face interacting dyads on an apartment rental negotiation. In Study 3, participants read a negotiation transcript that contained all priority-related information. Our results consistently revealed that younger dyads (17-35 years) achieved significantly higher joint outcomes than older dyads (65-85 years; in Study 1 and 2) or age-heterogeneous dyads (in Study 1) and that younger participants proposed more integrative agreements (in Study 3). Differences between younger and older dyads were mediated via information exchange about the negotiation partners' different priorities (Study 2) and via the extraction of relevant information about underlying different priorities (Study 3).",,,"10.1037/xge0000762",,"0096-3445","https://hilpub.uni-hildesheim.de/handle/ubhi/11073","eng",,,,,,"Older adults achieve poorer joint outcomes in integrative negotiations",,"Age differences in negotiations",,"Article",,,,"11","Journal of experimental psychology: General",,"2118","2102",,"149",,,"Publication",,
"ubhi/6","Kreß, Beatrix","Lietz, Roman||Mendes de Oliveira, Milene||Conti, Luisa||Lenehan, Fergal","2026-03-12T07:20:15Z","2026-03-12T07:20:15Z","2024",,,,,"978-3-631-88131-6",,"https://hilpub.uni-hildesheim.de/handle/ubhi/18551","ger","Peter Lang",,,,,,"Zur Darstellung kultureller Erfahrungen durch Expatriate YouTuber*innen","""I definitely feel like I have become very germanized in a lot of ways""",,"BookPart",,"Sprache und Interkulturalität in der digitalen Welt",,,,"Lausanne","88","67",,,,,"Publication","70","Forum angewandte Linguistik"
"ubhi/6","Lapshinova-Koltunski, Ekaterina||Amoia, M.||Kunz, K.",,"2026-05-04T07:40:59Z","2026-05-04T07:40:59Z","2011-09-15",,,,,,,"https://hilpub.uni-hildesheim.de/handle/ubhi/19395","eng","ACL","Workshop on Annotation and Exploitation of Parallel Corpora (AEPC 2011), Hissar, 15.09.2011",,,,"a Problematic Case for Parallel Corpora Annotation and Querying",,"Discontinuous Constituents",,"ConferencePaper",,,,,,"Stroudsburg","10","2",,,,,"Publication",,
"ubhi/7","König, Tim Benjamin Merlin",,"2025-01-24T07:31:06Z","2025-01-24T07:31:06Z","2025","This cumulative dissertation in political science examines political communication in complex, digitalized media environments. On the one hand, it shows the extent to which the media environment transformed by digital change is altering the traditional roles of established actors such as politicians and news media. On the other hand, it becomes clear how the instruments of analysis themselves are subject to technological change, necessitating an epistemological reflection. The four papers brought together in this dissertation each examine a relevant aspect of this subject matter. In addition to an appropriate concept of technology, they develop the data basis and methods for the automated analysis of large volumes of political communication. Furthermore, a quantitative case study on the hybrid media environment in Germany is conducted, which reveals the specific temporalities, affordances and attention dynamics of political communication in complex media environments.","Die Dissertation im Fach Politikwissenschaft untersucht politische Kommunikation in komplexen, digitalisierten Medienumgebungen. Einerseits wird so aufgezeigt, inwiefern die im Rahmen des digitalen Wandels transformierte Medienumgebung die klassische Rollenverteilung etablierter Akteure wie Politiker:innen und Nachrichtenmedien verändert. Andererseits wird deutlich, wie auch die Instrumente der Analyse selbst technologischem Wandel unterliegen, welcher eine epistemologische Reflexion nötig macht. Dazu werden vier Papiere kumulativ zusammengeführt, welche die relevanten Aspekte dieses Themenkomplexes beleuchten. Neben einem geeigneten Technikbegriff werden so auch die Datengrundlagen und Methoden entwickelt, um große Mengen politischer Kommunikation automatisiert auszuwerten. Darüber hinaus wird eine quantitative Fallstudie zur hybriden Medienumgebung in Deutschland durchgeführt, welche die spezifischen Temporalitäten, Affordanzen und Aufmerksamkeitsdynamiken digitaler politischer Kommunikation in komplexen Medienumgebungen offenlegt.","1.","10.18442/041",,,"https://hilpub.uni-hildesheim.de/handle/ubhi/17618","ger","Universitätsverlag Hildesheim",,,,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.de",,"Epistemologie, Methoden und Theorien der Erforschung digitaler Öffentlichkeit",,"Politische Kommunikation in komplexen Medienumgebungen","PhDThesis",,,,,,"Hildesheim",,,,,"2024","161","Publication",,
"ubhi/6","Kutzner, Kristin||Schoormann, Thorsten||Roßkopf, Claudia||Knackstedt, Ralf","Ahlemann, Frederik||Schütte, Reinhard||Stieglitz, Stefan","2023-07-14T06:26:54Z","2023-03-10","2021","Museums preserve the cultural heritage and aim at providing study and education as well as enjoyment for the general public. In pursuing their missions, museums are increasingly concerned with making these experiences digitally available. Therefore, they start to use online platforms that make cultural objects publicly accessible, and therefore allow discussing cultural issues and provide cultural and educational participation. However, as there is little consolidated knowledge on features of such platforms and limited resources of museums, they face challenges in achieving their missions through a platform. In order to overcome this, we (1) review and synthesize related literature and online platforms and (2) present a taxonomy of how online offers leverage cultural participation and education. In doing this, we seek to enable platform designers and museum professionals in making informed decisions in terms of how the ‘museum experience’ can be supported/complemented through online platforms.",,,"10.1007/978-3-030-86790-4_20","978-3-030-86789-8",,"https://hilpub.uni-hildesheim.de/handle/ubhi/11163","eng","Springer","16th International Conference on Business Information Systems (WI 2021), Universität Duisburg-Essen, 09.11.-11.03.2021",,,,"A Taxonomic Approach",,"Designing Online Platforms for Cultural Participation and Education",,"ConferencePaper",,"Innovation Through Information Systems. Volume I: A Collection of Latest Research on Domain Issues",,,,"Cham","296","280",,,,,"Publication","46","Lecture Notes in Information Systems and Organisation"
"ubhi/6","McGovern, Fiona",,"2023-07-14T06:45:03Z","2023-03-10","2020",,"Die in den 1990er-Jahren aufkommende Wendung vom „Artist as Curator“ ist häufig in Bezug auf einen vollzogenen Rollenwechsel und damit einer Form der Institutionskritik diskutiert worden. Fragen nach der Differenz des als kritisch gedeuteten Ansatzes einer meist als singulär, weil durch die künstlerische Autorschaft anders als die üblichen hervorgehobenen Ausstellungen, standen hierbei im Fokus. Während die Wendung wie der Diskurs hierum inzwischen selbst beinahe historisch geworden zu sein scheint, möchte ich diesen Text zum Anlass nehmen, anhand einiger Beispiele noch einmal über den jeweils größeren Zusammenhang – den Ausstellungsbetrieb als solchen und dessen enge Verknüpfung mit Ankaufspolitiken, sowie Aspekten der Kanonisierung und Historisierung von Kunst – nachzudenken. Dabei werde ich mich auf folgende drei, teils sich überschneidende Aspekte konzentrieren, die mir in dieser Hinsicht zentral erscheinen: wie Künstler*innen sich und / oder anderen Künstler*innen durch kuratorische Eigeninitiative Infrastrukturen des Zeigens und des Austausches schaffen, wie sie mit Ausstellungen gezielt in einen bestehenden Kanon intervenieren und wie umgekehrt Künstler*innen von etablierten Kunstinstitutionen eingeladen werden, Ausstellungen aus ihren Sammlungsbeständen zu kuratieren oder zu Kurator*innen internationaler Großausstellungen nominiert werden.",,,,"0177-3674","https://hilpub.uni-hildesheim.de/handle/ubhi/12211","eng",,,,,,"The Artist as Curator extended version",,,"Über den Rollenwechsel hinaus","Article",,,,"270","Kunstforum International",,"99","90",,,,,"Publication",,
"ubhi/6","Moennighoff, Burkhard","Joost, Ulrich||Moennighoff, Burkhard||Spicker, Friedemann||Achenbach, Bernd","2023-07-14T06:27:53Z","2023-03-10","2020",,,,,"978-3-8253-4748-2",,"https://hilpub.uni-hildesheim.de/handle/ubhi/11218","ger","Universitätsverlag Winter",,,,,,"Werner Krafts Jugenderinnerungen",,"""Irgendwann in einem unvorhersehbaren Augenblick meiner Jugend ist der Geist in mich gefahren.""","BookPart",,"Lichtenberg-Jahrbuch 2019",,,,"Heidelberg","214","201",,,,,"Publication",,
"ubhi/6","Brandenburg, Janin||Fischbach, Anne||Schuchardt, Kirsten||Büttner, Gerhard||Grube, Dietmar||Mähler, Claudia||Hasselhorn, Marcus",,"2026-03-23T13:25:44Z","2026-03-23T13:25:44Z","2022",,"Während es manchen Kindern mit Lesestörung gelingt, ihre Lernprobleme im Laufe der Grundschulzeit erfolgreich zu überwinden, trifft dies auf die überwiegende Mehrheit der Kinder nicht zu. Für die klinische Praxis sind empirische Befunde über individuelle Lernvoraussetzungen relevant, die das Überwinden der Leseprobleme begünstigen; solche Befunde liegen bislang jedoch nicht vor. Daher wurde für 65 Zweit- und Drittklässler, von denen 27 ihre Lesestörung bis Ende der Grundschulzeit überwunden hatten, geprüft, ob sich die individuelle Lernentwicklung der Kinder anhand einer kognitiven Funktionsdiagnostik prognostizieren lässt. Mittels logistischer Regression wurden knapp 75 % der Kinder korrekt als „Persistierer“ bzw. „Überwinder“ klassifiziert. Das Überwinden der Lesestörung wurde durch eine hohe Funktionstüchtigkeit des Arbeitsgedächtnisses–speziell in der zentralen Exekutive–und durch eine gute Benenngeschwindigkeit begünstigt. Die kognitiven Funktionen, die für das Entstehen von Lesestörungen verantwortlich sind, sind somit auch für deren Überwindung relevant. Eine besonders schwache Ausgangslage im Lesen machte das Persistieren der Probleme wahrscheinlich.",,"10.1055/a-1767-9884",,"0342-0477","https://hilpub.uni-hildesheim.de/handle/ubhi/18750","ger",,,,,,,"Welche kognitiven Funktionen begünstigen das Überwinden einer Lesestörung?",,"Sind die kognitiven Funktionen, die für das Entstehen von Lesestörungen verantwortlich sind, auch relevant für deren Überwindung?","Article",,,,"46","Sprache, Stimme, Gehör",,"81","76",,"2022",,,"Publication",,
"ubhi/7","Piekny, Jeanette",,"2023-07-19T07:10:26Z","2013-05-02","2012","Against the background of a growing interest in preschools on science education, the aim of this dissertation project was to contribute to a differentiated understanding of the development of childrens scientific reasoning in early and middle childhood. The focus was on domain-general scientific reasoning, that is the abilitiy to use and understand the process of making scientific findings. The dissertation starts with a chapter on the theoretical background about the development of scientific reasoning from Piaget to the Scientific Discovery as Dual Search (SDDS)- model. Then, two research questions on the development of hypothesis generation, experimentation and evidence evaluation skills are carved out and were tested in two studies. The results showed that these three scientific reasoning components develop asynchronously during early and middle childhood. The ability to evaluate perfect covariation evidence already develops during early preschool age, whereas the ability to evaluate imperfect covariation evidence and experimentation understanding does not emerge until the late preschool years. The ability to flexibly generate and adapt hypotheses according to accumulating evidence emerges at the beginning of adolescence. The theoretical analysis of these results led to the hypothesis that the components develop asynchronously because of different metacognitive demands. This hypothesis was tested in a third study that addressed the prediction of early interindividual differences in experimentation understanding. On the basis of Deanna Kuhns (1999, 2000) theoretical model, it was hypothesized that false-belief understanding could be an important predictor. The results showed a significant predictive relation between false-belief understanding at age 4 and experimentation understanding at age 5. On the basis of the results of all three studies, the SDDS-model and Kuhns (1999, 2000) model, a combined new model on the development of scientific reasoning is suggested. The discussion contains the relation between the combined model and theories on cognitive development, as well as theoretical and methodological points of criticism. The dissertation concludes with suggestions on further research projects and possibilities to implement the results in early childhood education.","Das Ziel des Forschungsprozesses, dem die vorliegende Arbeit zugrunde liegt, bestand darin, vor dem Hintergrund einer zunehmenden Fokussierung von Kindertageseinrichtungen auf naturwissenschaftliche Bildungsprogramme zu einer differenzierten entwicklungspsychologischen Betrachtung des wissenschaftlichen Denkens in der frühen und mittleren Kindheit beizutragen. Hierbei wurde das bereichsübergreifende wissenschaftliche Denken, d.h. die Fähigkeit zur Anwendung und das Verständnis für die kindlichen Methoden der Erkenntnisgewinns fokussiert. Zu Beginn der Arbeit wird der theoretische Hintergrund der entwicklungspsychologischen Forschung zum wissenschaftlichen Denken von den Anfängen durch Piaget bis zum Scientific Discovery as Dual Search (SDDS)- Modell dargestellt. Aus den bisherigen Befunden ergaben sich noch offene Forschungsfragen zur Entwicklung der drei Komponenten der Hypothesengenerierung, des Experimentierens und der Evidenzbewertung des SDDS- Modells, die im Rahmen zweier empirischer Studien überprüft worden sind. Die Ergebnisse der beiden Studien zeigten, dass sich die drei Komponenten im Laufe der frühen und mittleren Kindheit asynchron entwickeln. Die Fähigkeit zur Bewertung eindeutiger Evidenzen ist bereits im frühen Kindergartenalter möglich, während die Bewertung uneindeutiger Evidenzen und das basale Experimentierverständnis frühestens am Ende des Kindergartenalters nachweisbar waren. Das flexible Generieren und Adaptieren von Hypothesen an vorgegebene Evidenzen ist erst mit Beginn der Adoleszenz möglich. Die weitere theoretische Analyse dieser Ergebnisse führte zu der Hypothese, dass sich die Komponenten des wissenschaftlichen Denkens aufgrund unterschiedlicher metakognitiver Anforderungen asynchron entwickeln. Diese Hypothese floss in die theoretische Erarbeitung der dritten Studie dieser Arbeit ein, die sich mit dem Versuch einer Erklärung für die Entstehung interindividueller Unterschiede im Experimentierverständnis befasste. Auf der Basis der Modelle von Deanna Kuhn (1999, 2000) wurde das Verständnis falschen Glaubens als mögliche Vorläuferkompetenz des Experimentierverständnisses herausgearbeitet empirisch überprüft. Die Ergebnisse zeigten einen signifikanten prädiktiven Zusammenhang zwischen dem Verständnis falschen Glaubens im Alter von vier Jahren und dem basalen Experimentierverständnis im Alter von fünf Jahren. Auf der Grundlage der Ergebnisse aller drei Studien, des SDDS-Modells und der Modelle von Kuhn (1999, 2000) wurde ein verknüpftes Modell zur Entwicklung des bereichsübergreifenden wissenschaftlichen Denkens formuliert. Anschließend folgt eine Diskussion des verknüpften Modells vor dem Hintergrund ausgewählter Theorien der kognitiven Entwicklung, sowie der Erörterung theoretischer und methodischer Kritikpunkte. Die Arbeit schließt mit Vorschlägen zu weiterführenden Forschungsarbeiten und Anwendungsmöglichkeiten ab.",,,,,"https://hilpub.uni-hildesheim.de/handle/ubhi/16133","ger","Stiftung Universität Hildesheim",,,,"https://rightsstatements.org/page/InC/1.0/","Developmental steps and predictors","Entwicklungsschritte und Einflussfaktoren","Domain-general scientific reasoning in early and middle childhood","Bereichsübergreifendes wissenschaftliches Denken in der frühen und mittleren Kindheit","PhDThesis",,,,,,,,,,,"2013-02-26","145","Publication",,
"ubhi/6","Meyer, Kristina||Hindi Attar, Catherine||Banzhaf, Christian||Boedeker, Katja||Boegen, Ines||Dittrich, Katja||Heim, Christine||Herpertz, Sabine C.||Jaite, Charlotte||Kluczniok, Dorothea||Neukel, Corinne||Poppinga, Sina K.||Porten, Salomé||Roepke, Stefan||Schoofs, Nikola||Bermpohl, Felix",,"2026-03-11T08:44:20Z","2026-03-11T08:44:20Z","2026-02-20","Objective: Borderline personality disorder (BPD) affects many facets of interpersonal functioning, including maternal caregiving. Deficits in theory of mind (ToM) may put mothers with BPD at risk of showing dysfunctional parenting behavior. The present study investigated the association between the ToM brain network activation and parental behavior using functional magnetic resonance imaging (fMRI).
Method: In the present study conducted within the UBICA project (Understanding and Breaking the Intergenerational Cycle of Abuse), mothers with BPD (n=19) and healthy controls (HCs, n=30) completed an affect recognition task where they viewed sad, happy, and neutral faces of their own vs. unknown children during fMRI. Additionally, maternal non-hostility, the degree of maternal angry or irritable negative affect during mother-child-interactions, was assessed with the emotional availability scales.
Results: Mothers with BPD compared to HCs showed lower performance in recognizing child facial expressions across emotions. Further, maternal non-hostility across groups was associated with higher activation of the ToM neural network including the temporoparietal junction (left TPJ; T = 4.52, pFWE = .03; right TPJ: T = 4.44, pFWE = .04) and the dorsomedial prefrontal cortex (dmPFC; T = 4.39, pFWE = .05) in response to sad faces of mother’s own vs. unknown children.
Conclusion: The results indicate reduced child affect recognition in mothers with BPD. Further, mothers showing stronger neural activation of the TPJ and dmPFC while seeing their own sad children were more non-hostile, pointing towards an important role of affective ToM in maternal care, which might be a viable therapeutic target in future studies.",,,"10.3389/fpsyt.2025.1642483",,"1664-0640","https://hilpub.uni-hildesheim.de/handle/ubhi/18545","eng",,,,,,"Non-hostile behavior is associated with stronger neural activation of the theory of mind network in response to sad faces of the own child",,"Interactive behavior in mothers with and without borderline personality disorder",,"Article","1642483",,,"16","Frontiers in Psychiatry",,"12","1",,,,,"Publication",,
