hbzId	zdbId
HT016166053	2527921-X
HT016166308	2527792-3
HT016166313	2527797-2
HT016166316	2527800-9
HT013691872	2110388-4
HT014978130	2267387-8
HT014978144	2267401-9
HT014978148	2267405-6
HT018834309	2842715-4
HT014978181	2267439-1
HT014978187	2267446-9
HT014978310	2267576-0
HT014978483	2267754-9
HT018771279	2836269-X
HT014978667	2267949-2
HT014978671	2267953-4
HT014978682	2267965-0
HT014978692	2267978-9
HT014978714	2268000-7
HT014978716	2268002-0
HT016257062	2539530-0
HT018761592	2835375-4
HT018670647	2824734-6
HT018763347	2835588-X
HT012929461	2031741-4
HT018763363	2835606-8
HT017048277	2638043-2
HT016235508	2537764-4
HT017048294	2637813-9
HT016236079	2537154-X
HT013783661	2117796-X
HT018834874	2842770-1
HT018834879	2842774-9
HT013783764	2117899-9
HT021775777	3152585-4
HT013691888	2110404-9
HT018760771	2835274-9
HT018760780	2835281-6
HT018761602	2835384-5
HT014985975	2268243-0
HT018674819	2825277-9
HT018674820	2825276-7
HT012982161	2005829-9
HT016166116	2528403-4
HT016166118	2527881-2
HT016166124	2528405-8
HT016166431	2527996-8
HT016166436	2528001-6
HT014977984	2267238-2
HT014978345	2267612-0
HT014978347	2267614-4
HT014978489	2267761-6
HT012981803	2005461-0
HT012981810	2005468-3
HT012981991	2005656-4
HT018672391	2824968-9
HT012982146	2005813-5
HT013691884	2110400-1
HT013691892	2110408-6
HT013692153	2110672-1
HT013692158	2110677-0
HT012982153	2005820-2
HT018673074	2825085-0
HT018673076	2825083-7
HT012982355	2006038-5
HT012982359	2006043-9
HT016247240	2537926-4
HT016247418	2538118-0
HT016247714	2538461-2
HT016247721	2538468-5
HT016247725	2538472-7
HT013476018	2089835-6
HT016247975	2538749-2
HT018674814	2825256-1
HT016248463	2539289-X
HT013831246	2124369-4
HT018549368	2811688-4
HT013831591	2124720-1
HT014985981	2268249-1
HT014986107	2268377-X
HT014986119	2268389-6
HT016166050	2528421-6
HT016166420	2527985-3
HT016166423	2527988-9
HT017048071	2638250-7
HT017048074	2638254-4
HT017048078	2638258-1
HT017048092	2638272-6
HT018549916	2811798-0
HT016247978	2538752-2
HT016248205	2539018-1
HT014986646	2268938-2
HT014986649	2268941-2
HT018833423	2842644-7
HT021775788	3152966-5
HT018670667	2824757-7
HT018670674	2824767-X
HT017048287	2637579-5
HT012981680	2005332-0
